notebookTitle,departmentName
Traditional & Modern Medicine Research Lab,Traditional & Modern Medicine Research Lab
Bioanalytical Laboratory,Bioanalytical Laboratory
Bioequivalence Laboratory,Bioequivalence Laboratory
Immunology Laboratory,Immunology
Pathology Laboratory,Pathology Laboratory
Bacteriology Laboratory,Bacteriology
Malaria and Neglected Tropical Disease (MNTD) Laboratory,Malaria and Neglected Tropical Disease (MNTD) Laboratory
Pharmaceuticals Laboratory,Pharmaceuticals Laboratory
Viral Vaccine,Viral Vaccine
Tuberculosis Laboratory,Tuberculosis Laboratory
CTD,CTD
Biorepository Laboratory,Biorepository Laboratory
